"trial","subject_id","net","vignette","response_1","response_2","response_3","discrete_response_1","discrete_response_2","discrete_response_3","truth","discrete_answer","raw_err1","raw_err2","raw_err3","err1","err2","err3","overestimate","discrete_correct_1","discrete_correct_2","discrete_correct_3","abs_chg_err","chg_err","acc1","acc2","acc3"
73,1132,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,375,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,321,"Control",2.7,2,2,2,"B","A","A",5,"A",-3,-3,-3,3,3,3,FALSE,FALSE,TRUE,TRUE,0,0,-3,-3,-3
73,425,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,1091,"Control",2.7,5,3,3,"A","A","A",5,"A",0,-2,-2,0,2,2,FALSE,TRUE,TRUE,TRUE,2,2,0,-2,-2
73,63,"Control",2.7,0,15,20,"A","A","A",5,"A",-5,10,15,5,10,15,FALSE,TRUE,TRUE,TRUE,10,10,-5,-10,-15
73,306,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
73,616,"Control",2.7,20,20,20,"A","A","A",5,"A",15,15,15,15,15,15,TRUE,TRUE,TRUE,TRUE,0,0,-15,-15,-15
73,280,"Control",2.7,0,1,0,"A","A","A",5,"A",-5,-4,-5,5,4,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-4,-5
73,470,"Control",2.7,60,40,60,"C","A","C",5,"A",55,35,55,55,35,55,TRUE,FALSE,TRUE,FALSE,0,0,-55,-35,-55
73,1077,"Control",2.7,10,5,5,"A","A","A",5,"A",5,0,0,5,0,0,TRUE,TRUE,TRUE,TRUE,5,-5,-5,0,0
75,633,"Social",2.7,10,10,10,"B","B","B",5,"A",5,5,5,5,5,5,TRUE,FALSE,FALSE,FALSE,0,0,-5,-5,-5
75,428,"Social",2.7,50,2,5,"B","B","B",5,"A",45,-3,0,45,3,0,TRUE,FALSE,FALSE,FALSE,45,-45,-45,-3,0
75,224,"Social",2.7,0,0,0,"B","B","A",5,"A",-5,-5,-5,5,5,5,FALSE,FALSE,FALSE,TRUE,0,0,-5,-5,-5
75,626,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
75,707,"Social",2.7,0,1,1,"A","A","A",5,"A",-5,-4,-4,5,4,4,FALSE,TRUE,TRUE,TRUE,1,-1,-5,-4,-4
75,1092,"Social",2.7,0,5,3,"A","A","A",5,"A",-5,0,-2,5,0,2,FALSE,TRUE,TRUE,TRUE,3,-3,-5,0,-2
75,18,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
75,741,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
75,416,"Social",2.7,1,5,5,"A","A","A",5,"A",-4,0,0,4,0,0,FALSE,TRUE,TRUE,TRUE,4,-4,-4,0,0
75,818,"Social",2.7,2,3,2,"A","A","A",5,"A",-3,-2,-3,3,2,3,FALSE,TRUE,TRUE,TRUE,0,0,-3,-2,-3
75,911,"Social",2.7,10,4,3,"A","A","A",5,"A",5,-1,-2,5,1,2,TRUE,TRUE,TRUE,TRUE,3,-3,-5,-1,-2
75,69,"Social",2.7,0,0,4.5,"A","A","A",5,"A",-5,-5,-0.5,5,5,0.5,FALSE,TRUE,TRUE,TRUE,4.5,-4.5,-5,-5,-0.5
75,721,"Social",2.7,1,1,1,"A","A","A",5,"A",-4,-4,-4,4,4,4,FALSE,TRUE,TRUE,TRUE,0,0,-4,-4,-4
75,548,"Social",2.7,1,1,1,"A","A","A",5,"A",-4,-4,-4,4,4,4,FALSE,TRUE,TRUE,TRUE,0,0,-4,-4,-4
75,905,"Social",2.7,10,10,NA,"A","A",NA,5,"A",5,5,NA,5,5,NA,TRUE,TRUE,TRUE,NA,NA,NA,-5,-5,NA
75,757,"Social",2.7,0,1,NA,"B","B",NA,5,"A",-5,-4,NA,5,4,NA,FALSE,FALSE,FALSE,NA,NA,NA,-5,-4,NA
74,693,"Social",2.7,30,2,1,"A","A","A",5,"A",25,-3,-4,25,3,4,TRUE,TRUE,TRUE,TRUE,21,-21,-25,-3,-4
74,764,"Social",2.7,3,3,3,"A","A","A",5,"A",-2,-2,-2,2,2,2,FALSE,TRUE,TRUE,TRUE,0,0,-2,-2,-2
74,725,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
75,599,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
74,518,"Social",2.7,30,3,2,"A","A","A",5,"A",25,-2,-3,25,2,3,TRUE,TRUE,TRUE,TRUE,22,-22,-25,-2,-3
74,950,"Social",2.7,0,0,0,"B","B","B",5,"A",-5,-5,-5,5,5,5,FALSE,FALSE,FALSE,FALSE,0,0,-5,-5,-5
74,634,"Social",2.7,0,10,0,"A","B","A",5,"A",-5,5,-5,5,5,5,FALSE,TRUE,FALSE,TRUE,0,0,-5,-5,-5
75,1069,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
74,766,"Social",2.7,1,2,1,"A","A","A",5,"A",-4,-3,-4,4,3,4,FALSE,TRUE,TRUE,TRUE,0,0,-4,-3,-4
74,943,"Social",2.7,0,3,1,"A","A","A",5,"A",-5,-2,-4,5,2,4,FALSE,TRUE,TRUE,TRUE,1,-1,-5,-2,-4
74,43,"Social",2.7,NA,10,5,"A","A","A",5,"A",NA,5,0,NA,5,0,NA,TRUE,TRUE,TRUE,NA,NA,NA,-5,0
74,27,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
74,250,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
74,651,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
74,37,"Social",2.7,1,2,1,"A","A","A",5,"A",-4,-3,-4,4,3,4,FALSE,TRUE,TRUE,TRUE,0,0,-4,-3,-4
